country,year,month,inflation
Ethiopia,2020,1,138.1
Ethiopia,2020,1,99.4
Ethiopia,2020,1,162.8
Ethiopia,2020,1,158.7
Ethiopia,2020,1,127.4
Ethiopia,2020,1,162.6
Ethiopia,2020,1,153.7
Ethiopia,2020,1,124.7
Ethiopia,2020,1,143.8
Ethiopia,2020,1,155.1
Ethiopia,2020,1,143.7
Ethiopia,2020,1,155.1
Ethiopia,2020,1,144.7
Kenya,2020,1,102.7
Kenya,2020,1,102.9
Kenya,2020,1,101.1
Kenya,2020,1,107.6
Kenya,2020,1,100.7
Kenya,2020,1,102.9
Kenya,2020,1,102.5
Kenya,2020,1,114.2
Kenya,2020,1,101.1
Kenya,2020,1,104.8
Kenya,2020,1,102.2
Kenya,2020,1,100.8
Kenya,2020,1,106.5
Madagascar,2020,1,118.0
Madagascar,2020,1,129.3
Madagascar,2020,1,119.5
Madagascar,2020,1,127.9
Madagascar,2020,1,100.8
Madagascar,2020,1,131.6
Madagascar,2020,1,125.8
Madagascar,2020,1,124.4
Madagascar,2020,1,121.2
Madagascar,2020,1,121.0
Madagascar,2020,1,117.4
Madagascar,2020,1,112.3
Madagascar,2020,1,127.2
Mozambique,2020,1,97.8
Mozambique,2020,1,89.1
Mozambique,2020,1,82.3
Mozambique,2020,1,96.9
Mozambique,2020,1,86.4
Mozambique,2020,1,86.3
Mozambique,2020,1,69.9
Mozambique,2020,1,91.4
Mozambique,2020,1,85.1
Mozambique,2020,1,86.2
Mozambique,2020,1,77.9
Mozambique,2020,1,94.2
Mozambique,2020,1,78.7
Zimbabwe,2020,1,33.7
Zambia,2020,1,249.2
Zambia,2020,1,239.3
Zambia,2020,1,132.8
Zambia,2020,1,208.6
Zambia,2020,1,228.4
Zambia,2020,1,212.4
Zambia,2020,1,246.7
Zambia,2020,1,232.5
Zambia,2020,1,298.1
Zambia,2020,1,267.8
Zambia,2020,1,216.4
Zambia,2020,1,195.7
Zambia,2020,1,214.6
Malawi,2020,1,84.2
Malawi,2020,1,86.1
Malawi,2020,1,86.0
Malawi,2020,1,87.1
Malawi,2020,1,85.8
Malawi,2020,1,92.5
Malawi,2020,1,96.9
Malawi,2020,1,94.8
Malawi,2020,1,87.8
Malawi,2020,1,89.0
Malawi,2020,1,84.0
Malawi,2020,1,92.8
Malawi,2020,1,96.5
Ethiopia,2020,2,132.8
Ethiopia,2020,2,101.1
Ethiopia,2020,2,155.7
Ethiopia,2020,2,164.5
Ethiopia,2020,2,132.4
Ethiopia,2020,2,169.6
Ethiopia,2020,2,152.7
Ethiopia,2020,2,130.1
Ethiopia,2020,2,145.3
Ethiopia,2020,2,157.1
Ethiopia,2020,2,147.2
Ethiopia,2020,2,159.5
Ethiopia,2020,2,143.3
Kenya,2020,2,102.8
Kenya,2020,2,103.2
Kenya,2020,2,101.2
Kenya,2020,2,107.9
Kenya,2020,2,100.6
Kenya,2020,2,103.1
Kenya,2020,2,102.7
Kenya,2020,2,115.7
Kenya,2020,2,101.2
Kenya,2020,2,105.5
Kenya,2020,2,102.2
Kenya,2020,2,100.8
Kenya,2020,2,107.2
Madagascar,2020,2,118.7
Madagascar,2020,2,129.7
Madagascar,2020,2,119.5
Madagascar,2020,2,131.7
Madagascar,2020,2,100.8
Madagascar,2020,2,132.3
Madagascar,2020,2,126.3
Madagascar,2020,2,125.0
Madagascar,2020,2,121.8
Madagascar,2020,2,121.2
Madagascar,2020,2,117.6
Madagascar,2020,2,112.8
Madagascar,2020,2,127.7
Mozambique,2020,2,97.8
Mozambique,2020,2,89.1
Mozambique,2020,2,82.5
Mozambique,2020,2,96.9
Mozambique,2020,2,86.4
Mozambique,2020,2,86.4
Mozambique,2020,2,70.2
Mozambique,2020,2,91.4
Mozambique,2020,2,85.3
Mozambique,2020,2,86.5
Mozambique,2020,2,78.0
Mozambique,2020,2,94.6
Mozambique,2020,2,78.9
Zimbabwe,2020,2,41.0
Zimbabwe,2020,2,34.5
Zambia,2020,2,252.4
Zambia,2020,2,242.1
Zambia,2020,2,132.8
Zambia,2020,2,209.9
Zambia,2020,2,228.4
Zambia,2020,2,214.0
Zambia,2020,2,251.5
Zambia,2020,2,233.6
Zambia,2020,2,322.5
Zambia,2020,2,279.2
Zambia,2020,2,217.0
Zambia,2020,2,196.5
Zambia,2020,2,213.2
Malawi,2020,2,85.8
Malawi,2020,2,86.8
Malawi,2020,2,86.6
Malawi,2020,2,87.9
Malawi,2020,2,86.9
Malawi,2020,2,92.8
Malawi,2020,2,96.9
Malawi,2020,2,95.4
Malawi,2020,2,88.5
Malawi,2020,2,89.8
Malawi,2020,2,84.2
Malawi,2020,2,93.0
Malawi,2020,2,96.5
Ethiopia,2020,3,132.0
Ethiopia,2020,3,102.5
Ethiopia,2020,3,160.7
Ethiopia,2020,3,170.4
Ethiopia,2020,3,152.5
Ethiopia,2020,3,169.5
Ethiopia,2020,3,154.3
Ethiopia,2020,3,136.0
Ethiopia,2020,3,147.5
Ethiopia,2020,3,157.8
Ethiopia,2020,3,148.8
Ethiopia,2020,3,164.2
Ethiopia,2020,3,141.5
Kenya,2020,3,103.0
Kenya,2020,3,103.0
Kenya,2020,3,101.2
Kenya,2020,3,108.0
Kenya,2020,3,100.7
Kenya,2020,3,103.3
Kenya,2020,3,102.8
Kenya,2020,3,116.4
Kenya,2020,3,101.4
Kenya,2020,3,106.1
Kenya,2020,3,102.4
Kenya,2020,3,100.9
Kenya,2020,3,107.5
Madagascar,2020,3,119.1
Madagascar,2020,3,130.5
Madagascar,2020,3,119.5
Madagascar,2020,3,132.3
Madagascar,2020,3,100.8
Madagascar,2020,3,133.4
Madagascar,2020,3,126.6
Madagascar,2020,3,125.5
Madagascar,2020,3,122.9
Madagascar,2020,3,121.9
Madagascar,2020,3,118.0
Madagascar,2020,3,113.0
Madagascar,2020,3,128.5
Mozambique,2020,3,97.8
Mozambique,2020,3,89.0
Mozambique,2020,3,82.6
Mozambique,2020,3,96.9
Mozambique,2020,3,86.7
Mozambique,2020,3,86.3
Mozambique,2020,3,70.2
Mozambique,2020,3,91.1
Mozambique,2020,3,85.5
Mozambique,2020,3,86.6
Mozambique,2020,3,78.0
Mozambique,2020,3,95.3
Mozambique,2020,3,78.9
Zimbabwe,2020,3,41.3
Zimbabwe,2020,3,54.2
Zimbabwe,2020,3,46.0
Zambia,2020,3,255.5
Zambia,2020,3,243.2
Zambia,2020,3,132.8
Zambia,2020,3,211.4
Zambia,2020,3,228.4
Zambia,2020,3,216.1
Zambia,2020,3,254.6
Zambia,2020,3,235.4
Zambia,2020,3,332.2
Zambia,2020,3,283.2
Zambia,2020,3,219.1
Zambia,2020,3,198.8
Zambia,2020,3,216.1
Malawi,2020,3,84.5
Malawi,2020,3,86.8
Malawi,2020,3,86.7
Malawi,2020,3,88.2
Malawi,2020,3,86.2
Malawi,2020,3,93.1
Malawi,2020,3,96.9
Malawi,2020,3,95.5
Malawi,2020,3,88.7
Malawi,2020,3,90.1
Malawi,2020,3,84.1
Malawi,2020,3,93.2
Malawi,2020,3,96.5
Ethiopia,2020,4,134.7
Ethiopia,2020,4,103.9
Ethiopia,2020,4,161.9
Ethiopia,2020,4,175.2
Ethiopia,2020,4,158.8
Ethiopia,2020,4,168.7
