country,year,month,inflation
Somalia,2020,1,113.1376291
Somalia,2020,2,114.1333023
Somalia,2020,3,116.5535432
Somalia,2020,4,119.8025395
Somalia,2020,5,121.7588654
Somalia,2020,6,122.0429678
Somalia,2020,7,121.1277043
Somalia,2020,8,120.0878421
Somalia,2020,9,120.6298225
Somalia,2020,10,120.60528
Somalia,2020,11,121.1831633
Somalia,2020,12,120.1786386
Somalia,2021,1,118.8
Somalia,2021,2,119.88
Somalia,2021,3,122.47
Somalia,2021,4,124.85
Somalia,2021,5,126.42
Somalia,2021,6,125.97
Somalia,2021,7,126.89
Somalia,2021,8,125.26
Somalia,2021,9,126.17
Somalia,2021,10,126.4613726
Somalia,2021,11,127.2735028
Somalia,2021,12,126.9899071
Somalia,2022,1,126.9198506
Somalia,2022,2,127.614781
Somalia,2022,3,129.9171666
Somalia,2022,4,132.8982247
Somalia,2022,5,134.85
Somalia,2022,6,134.77
Somalia,2022,7,136.71
Somalia,2022,8,134.74
Somalia,2022,9,135.28
Somalia,2022,10,135.2
Somalia,2022,11,135.37
Somalia,2022,12,134.68
Somalia,2023,1,133.99
Somalia,2023,2,134.54
Somalia,2023,3,137.29
Somalia,2023,4,141.08
Somalia,2023,5,143.73
Somalia,2023,6,143.72
Somalia,2023,7,144.89
Somalia,2023,8,142.58
Somalia,2023,9,142.65
Somalia,2023,10,143.59
Somalia,2023,11,144.92
Somalia,2023,12,143.57
Somalia,2024,1,142.28
Somalia,2024,2,142.14
Somalia,2024,3,145.34
Somalia,2024,4,148.42
Somalia,2024,5,150.64
Somalia,2024,6,151.35
Somalia,2024,7,152.92
Somalia,2024,8,151.04
Somalia,2024,9,151.39
Somalia,2024,10,151.96
Somalia,2024,11,152.46
Somalia,2024,12,151.57
