Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Somalia,SOM,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3430356744349
Somalia,SOM,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3430356744349
Somalia,SOM,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3414416424905
Somalia,SOM,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3398476105461
Somalia,SOM,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1788503841617
Somalia,SOM,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1788503841617
Somalia,SOM,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.1788503841617
Somalia,SOM,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2585519813817
Somalia,SOM,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3382535786017
Somalia,SOM,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3876685688781
Somalia,SOM,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.3111550355469
Somalia,SOM,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2808684286033
Somalia,SOM,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2505818216597
Somalia,SOM,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2442056938821
Somalia,SOM,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2442056938821
Somalia,SOM,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2442056938821
Somalia,SOM,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2426116619377
Somalia,SOM,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2346415022157
Somalia,SOM,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2266713424937
Somalia,SOM,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2171071508273
Somalia,SOM,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2075429591609
Somalia,SOM,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.2059489272165
