date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
1995-01-15,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,700.0,0.085
1995-02-15,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,525.0,0.0628
1995-03-15,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,600.0,0.0708
1995-04-15,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,900.0,0.1046
1995-05-15,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1025.0,0.1174
1995-06-15,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1100.0,0.1242
1995-07-15,Banadir,Banadir,Bakaara,2.048031,45.32,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,1400.0,0.1559
1995-07-15,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Maize (white),KG,actual,Retail,SOS,3000.0,0.3341
1995-07-15,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3500.0,0.3897
1995-07-15,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,3000.0,0.3341
1995-07-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1650.0,0.1837
1995-07-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3200.0,0.3563
1995-07-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,850.0,0.0947
1995-08-15,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Maize (white),KG,actual,Retail,SOS,3000.0,0.3294
1995-08-15,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Rice (imported),KG,actual,Retail,SOS,3500.0,0.3843
1995-08-15,Bari,Bossaso,Bossaso,11.26,49.18,cereals and tubers,Sorghum (red),KG,actual,Retail,SOS,3000.0,0.3294
1995-08-15,Bay,Baydhaba,Baidoa,3.117180109024048,43.64690017700195,cereals and tubers,Maize (white),KG,actual,Retail,SOS,1250.0,0.1372
