Country,Start Year,Start Month,End Year,End Month,Disaster Type,Total Affected,month,year,Total_IDPs
Zambia,2020,1,2020,1,Flood,1500.0,1,2020,
Yemen,2020,3,2020,3,Flood,23129.0,3,2020,
Zambia,2020,3,2020,3,Flood,700000.0,3,2020,
Kenya,2020,4,2020,6,Flood,810655.0,4,2020,
Kenya,2020,4,2020,6,Flood,810655.0,5,2020,
Kenya,2020,4,2020,6,Flood,810655.0,6,2020,
Yemen,2020,4,2020,4,Flood,150030.0,4,2020,
Yemen,2020,6,2020,6,Flood,215.0,6,2020,
Sudan,2020,6,2020,9,Flood,875013.0,6,2020,
Sudan,2020,6,2020,9,Flood,875013.0,7,2020,
Sudan,2020,6,2020,9,Flood,875013.0,8,2020,
Sudan,2020,6,2020,9,Flood,875013.0,9,2020,
South Sudan,2020,7,2020,12,Flood,1042000.0,7,2020,
South Sudan,2020,7,2020,12,Flood,1042000.0,8,2020,
South Sudan,2020,7,2020,12,Flood,1042000.0,9,2020,
South Sudan,2020,7,2020,12,Flood,1042000.0,10,2020,
South Sudan,2020,7,2020,12,Flood,1042000.0,11,2020,
South Sudan,2020,7,2020,12,Flood,1042000.0,12,2020,
Yemen,2020,7,2020,8,Flood,,7,2020,
Yemen,2020,7,2020,8,Flood,,8,2020,
Zambia,2020,12,2020,12,Flood,4272.0,12,2020,
Kenya,2020,12,2022,12,Drought,4500000.0,12,2020,
Kenya,2020,12,2022,12,Drought,4500000.0,1,2021,
Kenya,2020,12,2022,12,Drought,4500000.0,2,2021,
Kenya,2020,12,2022,12,Drought,4500000.0,3,2021,
Kenya,2020,12,2022,12,Drought,4500000.0,4,2021,
Kenya,2020,12,2022,12,Drought,4500000.0,5,2021,
Kenya,2020,12,2022,12,Drought,4500000.0,6,2021,
Kenya,2020,12,2022,12,Drought,4500000.0,7,2021,
Kenya,2020,12,2022,12,Drought,4500000.0,8,2021,
Kenya,2020,12,2022,12,Drought,4500000.0,9,2021,
Kenya,2020,12,2022,12,Drought,4500000.0,10,2021,
Kenya,2020,12,2022,12,Drought,4500000.0,11,2021,
Kenya,2020,12,2022,12,Drought,4500000.0,12,2021,
Kenya,2020,12,2022,12,Drought,4500000.0,1,2022,
Kenya,2020,12,2022,12,Drought,4500000.0,2,2022,
Kenya,2020,12,2022,12,Drought,4500000.0,3,2022,
Kenya,2020,12,2022,12,Drought,4500000.0,4,2022,
Kenya,2020,12,2022,12,Drought,4500000.0,5,2022,
Kenya,2020,12,2022,12,Drought,4500000.0,6,2022,
Kenya,2020,12,2022,12,Drought,4500000.0,7,2022,
Kenya,2020,12,2022,12,Drought,4500000.0,8,2022,
Kenya,2020,12,2022,12,Drought,4500000.0,9,2022,440781.0
Kenya,2020,12,2022,12,Drought,4500000.0,10,2022,
Kenya,2020,12,2022,12,Drought,4500000.0,11,2022,291921.0
Kenya,2020,12,2022,12,Drought,4500000.0,12,2022,143010.0
Kenya,2021,4,2021,5,Flood,300000.0,4,2021,
Kenya,2021,4,2021,5,Flood,300000.0,5,2021,
Yemen,2021,5,2021,5,Flood,22380.0,5,2021,
Sudan,2021,6,2021,6,Storm,16000.0,6,2021,
Yemen,2021,7,2021,8,Flood,205828.0,7,2021,
Yemen,2021,7,2021,8,Flood,205828.0,8,2021,
Sudan,2021,7,2021,9,Flood,303045.0,7,2021,
Sudan,2021,7,2021,9,Flood,303045.0,8,2021,
Sudan,2021,7,2021,9,Flood,303045.0,9,2021,
South Sudan,2021,5,2021,10,Flood,835000.0,5,2021,
South Sudan,2021,5,2021,10,Flood,835000.0,6,2021,
South Sudan,2021,5,2021,10,Flood,835000.0,7,2021,
South Sudan,2021,5,2021,10,Flood,835000.0,8,2021,
South Sudan,2021,5,2021,10,Flood,835000.0,9,2021,
South Sudan,2021,5,2021,10,Flood,835000.0,10,2021,
South Sudan,2021,1,2022,11,Drought,7723670.0,1,2021,
South Sudan,2021,1,2022,11,Drought,7723670.0,2,2021,
South Sudan,2021,1,2022,11,Drought,7723670.0,3,2021,
South Sudan,2021,1,2022,11,Drought,7723670.0,4,2021,
South Sudan,2021,1,2022,11,Drought,7723670.0,5,2021,
South Sudan,2021,1,2022,11,Drought,7723670.0,6,2021,
South Sudan,2021,1,2022,11,Drought,7723670.0,7,2021,
South Sudan,2021,1,2022,11,Drought,7723670.0,8,2021,
South Sudan,2021,1,2022,11,Drought,7723670.0,9,2021,
South Sudan,2021,1,2022,11,Drought,7723670.0,10,2021,
South Sudan,2021,1,2022,11,Drought,7723670.0,11,2021,
South Sudan,2021,1,2022,11,Drought,7723670.0,12,2021,
South Sudan,2021,1,2022,11,Drought,7723670.0,1,2022,
South Sudan,2021,1,2022,11,Drought,7723670.0,2,2022,
South Sudan,2021,1,2022,11,Drought,7723670.0,3,2022,
